id;projet_millesime;projet_numero;porteur_titre;porteur_nom;porteur_prenom;porteur_mail;porteur_tel;projet_theme;projet_libelle;projet_localisation;projet_secteur;projet_date_depot;projet_source_depot;projet_statut;projet_commentaires;projet_cout;projet_synthese_analyse;meta_datcreat;meta_datmaj;meta_datsupp;meta_source;meta_insee;meta_siren;meta_licence;meta_observations;geocod_methode;geocod_fiability;meta_genealogie;meta_mairie_quartier;meta_historique;meta_actif;porteur_collectif;porteur_adresse;projet_sous_theme;projet_description;projet_pourquoi;projet_avis_abf;projet_avancement
46;2017;14;;;;;;Aménagement de l'espace public et mobilier urbain;Aires de jeux pour enfants ;Clos de massillargues;Nord;;;retenu;;60000;;20181022152424.574055;20181022152424.574055;;Mairie Avignon / Pôle Vivre la Ville / DPT Vie des Quartiers;84007;218400075;LO;;;;Projets recencés auprès des citoyens, préfiltre par la collectivité, vote du citoyen, suivi des données par la direction métier Mairie Avignon / Pôle Vivre la Ville / DPT Vie des Quartiers ;;;t;;;;;;;
47;2017;24;;;;;;Aménagement de l'espace public et mobilier urbain;Installation de  jeux d'eau pour éviter l'ouverture sauvage des bouches à incendie;quartier Monclar ;Ouest;;;retenu;;100000;;20181022152424.574055;20181022152424.574055;;Mairie Avignon / Pôle Vivre la Ville / DPT Vie des Quartiers;84007;218400075;LO;;;;Projets recencés auprès des citoyens, préfiltre par la collectivité, vote du citoyen, suivi des données par la direction métier Mairie Avignon / Pôle Vivre la Ville / DPT Vie des Quartiers ;;;t;;;;;;;
48;2017;25;;;;;;Aménagement de l'espace public et mobilier urbain;Réhabilitation du Pont situé au début de l'avenue de l'Arrousaire;avenue de l'Arrousaire;Nord Rocade;;;retenu;;50000;;20181022152424.574055;20181022152424.574055;;Mairie Avignon / Pôle Vivre la Ville / DPT Vie des Quartiers;84007;218400075;LO;;;;Projets recencés auprès des citoyens, préfiltre par la collectivité, vote du citoyen, suivi des données par la direction métier Mairie Avignon / Pôle Vivre la Ville / DPT Vie des Quartiers ;;;t;;;;;;;
49;2017;28;;;;;;Aménagement de l'espace public et mobilier urbain;"Installation de petits panneaux retraçant l'histoire du patrimoine 
Installer des plaques avec le nom des Ponts";ceinture verte;Nord Rocade;;;retenu;;11000;;20181022152424.574055;20181022152424.574055;;Mairie Avignon / Pôle Vivre la Ville / DPT Vie des Quartiers;84007;218400075;LO;;;;Projets recencés auprès des citoyens, préfiltre par la collectivité, vote du citoyen, suivi des données par la direction métier Mairie Avignon / Pôle Vivre la Ville / DPT Vie des Quartiers ;;;t;;;;;;;
51;2017;33;;;;;;Culture, Patrimoine;Circuit culturel et patrimonial extra muros;Quartier St Ruf;Nord Rocade;;;retenu;;20000;;20181022152424.574055;20181022152424.574055;;Mairie Avignon / Pôle Vivre la Ville / DPT Vie des Quartiers;84007;218400075;LO;;;;Projets recencés auprès des citoyens, préfiltre par la collectivité, vote du citoyen, suivi des données par la direction métier Mairie Avignon / Pôle Vivre la Ville / DPT Vie des Quartiers ;;;t;;;;;;;
52;2017;44;;;;;;Environnement, nature en ville, propreté;Renovation des 150 mètres de la rue piétonnière Antoine Crousillat - plantation de quelques arbres;rocade Nord;Nord Rocade;;;retenu;;4500;;20181022152424.574055;20181022152424.574055;;Mairie Avignon / Pôle Vivre la Ville / DPT Vie des Quartiers;84007;218400075;LO;;;;Projets recencés auprès des citoyens, préfiltre par la collectivité, vote du citoyen, suivi des données par la direction métier Mairie Avignon / Pôle Vivre la Ville / DPT Vie des Quartiers ;;;t;;;;;;;
53;2017;45;;;;;;Environnement, nature en ville, propreté;Création de potagers collectifs ouverts à tous dans 5 parcs municipaux;square Perdiguier,square abbé Pierre, Parc de l'abbaye St Ruf, Clos de la murette, Parc Chico Mendes;tous secteurs;;;retenu;;54000;;20181022152424.574055;20181022152424.574055;;Mairie Avignon / Pôle Vivre la Ville / DPT Vie des Quartiers;84007;218400075;LO;;;;Projets recencés auprès des citoyens, préfiltre par la collectivité, vote du citoyen, suivi des données par la direction métier Mairie Avignon / Pôle Vivre la Ville / DPT Vie des Quartiers ;;;t;;;;;;;
54;2017;47;;;;;;Loisirs, sports;Parcours de santé;La souvine, route de Bel Air;Montfavet;;;retenu;;20000;;20181022152424.574055;20181022152424.574055;;Mairie Avignon / Pôle Vivre la Ville / DPT Vie des Quartiers;84007;218400075;LO;;;;Projets recencés auprès des citoyens, préfiltre par la collectivité, vote du citoyen, suivi des données par la direction métier Mairie Avignon / Pôle Vivre la Ville / DPT Vie des Quartiers ;;;t;;;;;;;
55;2017;52;;;;;;Solidarité, citoyenneté, intergénérationnel;Libre service de livres;"Place du Palais
Parvis gare sncf
Place Pie
centre commercial Pont des deux eaux";intra;;;retenu;;10000;;20181022152424.574055;20181022152424.574055;;Mairie Avignon / Pôle Vivre la Ville / DPT Vie des Quartiers;84007;218400075;LO;;;;Projets recencés auprès des citoyens, préfiltre par la collectivité, vote du citoyen, suivi des données par la direction métier Mairie Avignon / Pôle Vivre la Ville / DPT Vie des Quartiers ;;;t;;;;;;;
56;2017;53;;;;;;Transports, mobilité;Garages à vélo sécurisés;en Avignon;tous secteurs;;;retenu;;120000;;20181022152424.574055;20181022152424.574055;;Mairie Avignon / Pôle Vivre la Ville / DPT Vie des Quartiers;84007;218400075;LO;;;;Projets recencés auprès des citoyens, préfiltre par la collectivité, vote du citoyen, suivi des données par la direction métier Mairie Avignon / Pôle Vivre la Ville / DPT Vie des Quartiers ;;;t;;;;;;;
